,accuracy,f1_score,roc_auc,demographic_parity_diff,equalized_odds_diff,false_positive_rate_diff
XGBoost,0.86945,0.017312758750470454,0.49603535353535355,0.06352319743834978,0.16326530612244897,0.06424939844569959
RandomForest,0.7318,0.01794214573416331,0.4908585858585859,0.20288168132819043,0.20387693117685715,0.20387693117685715
