,accuracy,f1_score,roc_auc,demographic_parity_diff,equalized_odds_diff,false_positive_rate_diff
XGBoost,0.95555,0.015503875968992248,0.4999242424242424,0.04488667041309929,0.046511627906976744,0.04510874437532997
RandomForest,0.8737,0.01328125,0.48333333333333334,0.3584598845588634,0.3613587142585558,0.3613587142585558
