,fraud_precision,fraud_recall,fraud_f1,fraud_capture_rate,false_positives,false_negatives,roc_auc,pr_auc,balanced_accuracy,demographic_parity_diff,equalized_odds_diff,training_time,avg_val_recall
XGBoost_Fraud,0.009996090914167644,0.895,0.01977135914287292,0.895,17728,21,0.4871266414141414,0.009443750154894844,0.49982323232323234,0.08367622380807249,0.12244897959183676,20.661617040634155,0.9988636363636364
BalancedForest,0.008738601823708206,0.23,0.01683748169838946,0.23,5218,154,0.4616036616161616,0.009157670250772736,0.48323232323232324,0.47767544874549595,0.5025510204081632,30.338303565979004,0.8075505050505051
