,accuracy,f1_score,roc_auc,demographic_parity_diff,equalized_odds_diff,false_positive_rate_diff
XGBoost,0.9532,0.00847457627118644,0.4913131313131313,0.04066181035227924,0.04093844525512151,0.04093844525512151
RandomForest,0.86495,0.01817520901490367,0.4987121212121212,0.4296632298514645,0.5637755102040817,0.4319649753729021
