,fraud_precision,fraud_recall,fraud_f1,fraud_capture_rate,false_positives,false_negatives,roc_auc,pr_auc,balanced_accuracy,demographic_parity_diff,equalized_odds_diff,training_time,avg_val_recall
XGBoost_Fraud,0.01045373665480427,0.9353233830845771,0.020676381633214187,0.9353233830845771,17796,13,0.5323771314647531,0.012158984474419706,0.5182450543383893,0.07659726528424438,0.11764705882352944,23.537798643112183,0.9985479797979798
BalancedForest,0.012034599473486273,0.31840796019900497,0.023192607356405145,0.31840796019900497,5254,137,0.5302461378646441,0.011364679666349176,0.5265205112374387,0.47516481559794344,0.5391304347826087,22.70739769935608,0.8069949494949494
